Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
87,Angers,FRA,19,11,2,2,7,13,27,-14,8,0.73,15.5,16.2,-0.8,-0.07,8733,Adrien Hunou Sofiane Boufal - 3,Paul Bernardoni
88,Bologna,ITA,17,10,1,4,5,10,17,-7,7,0.7,11.2,15.2,-4,-0.4,14417,Marko Arnautovi? - 6,?ukasz Skorupski
89,Cádiz,ESP,19,9,1,3,5,4,17,-13,6,0.67,6.6,16.2,-9.6,-1.07,17043,Lucas Pérez Víctor Chust... - 1,Jeremías Ledesma
90,Schalke 04,GER,17,10,1,3,6,10,24,-14,6,0.6,12,17,-5,-0.5,61344,Marius Bülter - 3,Alexander Schwolow
91,Brest,FRA,20,11,1,3,7,11,25,-14,6,0.55,10.3,17.8,-7.6,-0.69,9482,Pierre Lees-Melou Romain Del Castillo... - 2,Marco Bizot
92,Leicester City,ENG,19,10,1,2,7,15,24,-9,5,0.5,10.4,13.4,-3,-0.3,31674,James Maddison - 5,Danny Ward
93,Hellas Verona,ITA,18,10,1,2,7,9,19,-10,5,0.5,10.4,15.1,-4.7,-0.47,9950,Josh Doig Thomas Henry - 2,Lorenzo Montipò
94,Nott'ham Forest,ENG,20,10,1,2,7,7,23,-16,5,0.5,9.7,17.4,-7.8,-0.78,29032,Brennan Johnson Taiwo Awoniyi - 2,Dean Henderson
95,Cremonese,ITA,19,10,0,4,6,9,21,-12,4,0.4,10.5,21.5,-11,-1.1,8417,David Okereke Cyriel Dessers - 2,Ionu? Radu
96,Bochum,GER,18,10,1,1,8,9,27,-18,4,0.4,9.2,23.3,-14.1,-1.41,25312,Simon Zoller - 3,Manuel Riemann
97,Sampdoria,ITA,20,9,0,3,6,5,17,-12,3,0.33,7.5,12.7,-5.2,-0.58,17834,Filip ?uri?i? - 2,Emil Audero
98,Elche,ESP,20,9,0,3,6,6,21,-15,3,0.33,6,21.3,-15.2,-1.69,20548,Ezequiel Ponce Pere Milla - 2,Édgar Badía
